#{"t_start": 1747016788.560852, "env_id": "None"}
r,l,t
-21425.465113,672,1.716469
-23188.954571,672,2.847411
-20910.692683,672,4.102027
-22040.161841,672,5.49864
-18679.576662,672,6.636109
-20173.295067,672,7.840337
-20737.38173,672,9.245756
-19685.533918,672,10.318764
-23119.453535,672,11.433813
-18984.020593,672,12.80653
-24060.721798,672,13.907955
-21189.745737,672,15.124744
-18989.305527,672,16.648351
-18695.249864,672,17.73495
-22203.736105,672,18.996764
-19439.244445,672,20.449099
-21933.076761,672,21.555289
-19442.680003,672,22.653208
-21376.962494,672,24.123457
-20696.603542,672,25.458045
-17533.548166,672,26.732413
-21416.843384,672,28.239757
-20387.039416,672,29.509479
-20228.679917,672,30.650748
-19088.005909,672,32.07515
-17761.955958,672,33.224946
-14933.229992,672,34.410275
-16643.962413,672,35.89623
-16264.406884,672,37.106878
-20375.355918,672,38.356648
-16084.066388,672,39.904377
-16883.154715,672,41.14599
-16620.353497,672,42.548176
-15196.669023,672,44.236025
-13969.35011,672,45.587637
-15660.841022,672,46.81969
-16920.854178,672,48.448931
-15781.34763,672,49.698688
-16840.775768,672,51.085602
-13800.169813,672,52.782492
-15690.979885,672,54.086449
-15894.49485,672,55.400445
-15504.150024,672,57.036367
-16605.108196,672,58.480518
-15593.37107,672,59.859712
-14311.12126,672,61.617217
-16248.536748,672,62.979325
-13976.802894,672,64.356663
-16090.271283,672,65.967113
-13294.073231,672,67.494403
-15669.684947,672,68.829345
-13118.009057,672,70.410152
-13876.592533,672,71.662598
-15198.647862,672,73.03609
-12467.033813,672,74.575688
-13958.755161,672,75.818985
-12520.22415,672,77.123558
-15398.442736,672,78.828406
-12381.497632,672,80.279126
-14002.748117,672,81.662882
-12649.266548,672,83.387554
-14283.219981,672,84.647743
-15869.279332,672,85.925701
-14414.357215,672,87.179932
-13870.338807,672,88.864647
-13230.093359,672,90.241764
-14512.445857,672,91.636466
-14500.160901,672,93.302814
-13689.570432,672,94.926863
-15557.24398,672,96.419992
-13779.739829,672,98.155549
-14220.371721,672,99.453737
-13537.074808,672,100.790549
-13198.375916,672,102.398908
-14761.825752,672,103.868248
-13485.185175,672,105.281995
-14596.627708,672,107.038587
-12905.828658,672,108.411639
-15270.320935,672,109.905013
-15085.778977,672,112.17988
-14019.966533,672,114.249368
-14095.60078,672,116.701985
-14168.342647,672,119.081155
-14591.136879,672,120.880418
-11334.296717,672,122.784996
-13087.960737,672,124.726425
-14777.084791,672,126.35967
-15700.772338,672,128.209936
-12148.744318,672,130.551976
-13582.425818,672,132.371166
-11788.261568,672,134.246974
-11964.435119,672,136.883822
-12114.121889,672,138.989478
-10426.472802,672,141.023095
-12575.51993,672,143.255721
-12211.55596,672,145.440704
-11822.693552,672,147.324838
-12987.674449,672,149.622376
-11107.180049,672,151.453254
-12855.593989,672,153.059812
-12867.608614,672,155.174749
-11995.325024,672,156.93942
-11542.652873,672,158.607453
-10730.444217,672,160.649063
-12980.251311,672,162.337451
-11554.019439,672,164.249871
-13625.257232,672,166.470725
-13297.57978,672,168.798355
-11388.604812,672,170.694942
-12914.51694,672,172.852101
-12235.557252,672,174.520675
-12465.874538,672,176.238995
-12446.372066,672,178.417592
-12161.117568,672,180.049736
-12858.990803,672,181.736447
-14855.157244,672,184.012255
-16206.225591,672,186.713838
-10110.250636,672,188.966661
-13646.872845,672,191.506993
-13557.526287,672,193.53285
-14069.899819,672,195.559188
-11818.818151,672,198.652448
-12286.0287,672,200.817263
-12465.547476,672,202.438631
-11145.317517,672,205.1165
-15419.763837,672,208.172001
-11946.219366,672,210.220074
-13615.730372,672,212.179766
-11836.56875,672,214.5214
-11464.25841,672,216.528242
-11758.029086,672,218.618572
-11103.164859,672,220.760063
-14021.355915,672,223.286628
-12622.555414,672,225.956606
-12060.069342,672,228.634276
-10355.151051,672,230.761753
-11296.66752,672,233.288751
-11550.41664,672,235.968648
-11827.848623,672,239.304012
-14091.658753,672,241.231503
-9883.667633,672,244.387834
-10487.480055,672,247.403733
-11283.759416,672,250.950948
-9587.358402,672,254.378766
-10328.403296,672,257.023228
-11050.528217,672,261.431637
-12243.947919,672,264.614263
-12644.911597,672,266.892835
-14042.704089,672,269.720646
-12246.423919,672,271.948153
-9600.465488,672,274.252421
-12039.707344,672,276.789049
-10716.69551,672,278.839086
-11916.520792,672,280.570332
-12785.311388,672,282.158122
-11408.609655,672,284.309775
-11379.175412,672,285.902021
-11251.749312,672,287.630121
-10616.764803,672,290.556059
-10403.683645,672,292.396616
-10273.249302,672,294.146549
-10509.745801,672,296.126745
-10331.975619,672,298.094171
-8402.660721,672,299.891067
-10320.465858,672,302.062434
-10459.146965,672,303.826053
-10542.609588,672,306.1836
-9814.472685,672,310.2407
-10042.863957,672,312.070582
-12479.05754,672,313.877216
-10342.629455,672,315.953574
-9652.435281,672,317.683476
-10487.740266,672,319.458699
-10712.676748,672,321.64569
-9480.191799,672,323.444881
-9548.732354,672,325.309716
-10211.613959,672,327.453596
-10588.912254,672,329.11784
-9387.414398,672,330.932641
-9455.288666,672,333.479926
-9247.900019,672,335.048435
-9415.362966,672,336.762757
-9729.035597,672,339.153807
-10551.454218,672,340.844363
-8902.24441,672,343.090718
-8115.541537,672,346.064184
-10874.405276,672,347.6453
-9082.817691,672,349.561724
-10210.982943,672,351.710937
