#{"t_start": 1747016146.881129, "env_id": "None"}
r,l,t
-10685.311633,672,0.671262
-12294.302935,672,1.444742
-9751.230655,672,2.066051
-11593.281279,672,3.026411
-13443.278368,672,3.674165
-13401.83742,672,4.325358
-12146.770918,672,5.324016
-9457.956198,672,6.01364
-10894.156905,672,6.783743
-11876.516769,672,7.797032
-9719.719806,672,8.450619
-9675.374336,672,9.137653
-10517.560694,672,10.136278
-12234.540087,672,10.775444
-12379.757601,672,11.455491
-12135.931247,672,12.406568
-10423.391297,672,13.093864
-10126.652161,672,13.789387
-11214.523455,672,14.745937
-11809.73919,672,15.372427
-10522.188492,672,16.08654
-9731.252558,672,17.09601
-9993.385137,672,17.764723
-9483.31693,672,19.375225
-9705.097623,672,20.336572
-10756.058409,672,20.978978
-11307.54537,672,21.709124
-11183.279369,672,22.633758
-10920.490362,672,23.277742
-11024.888448,672,23.916134
-9106.982772,672,24.865044
-9742.558847,672,25.535724
-8044.22445,672,26.193327
-9162.30237,672,27.159756
-8132.557572,672,27.936559
-8246.760222,672,28.597417
-8806.351579,672,29.570246
-7314.297816,672,30.239722
-8615.550728,672,30.980684
-9451.318394,672,32.014622
-10074.34742,672,32.699618
-8887.512431,672,33.465066
-9172.028982,672,34.474957
-8214.231608,672,35.251119
-9104.031673,672,35.984174
-11519.894962,672,37.033789
-10774.608021,672,37.815526
-9465.070045,672,38.572512
-8032.593306,672,39.663822
-8864.610956,672,40.424733
-8192.638117,672,41.25257
-7908.32036,672,42.47457
-7533.833419,672,43.216788
-8234.325797,672,43.898206
-8282.728327,672,45.118583
-9421.531299,672,46.104753
-8136.488472,672,46.948422
-8629.280948,672,48.131295
-8235.50458,672,48.991069
-9559.957986,672,49.830516
-9106.589436,672,51.052175
-7766.433805,672,51.894091
-7694.994312,672,52.92195
-8978.023113,672,53.914084
-8111.459285,672,55.176736
-9154.559744,672,56.16644
-8495.745141,672,56.981523
-9244.364148,672,58.226938
-8801.720056,672,59.040479
-8246.049839,672,59.959147
-8920.252981,672,61.185044
-8339.844012,672,62.005517
-7696.612972,672,62.8762
-7773.459714,672,64.145697
-8420.928944,672,65.045929
-8632.047008,672,65.854211
-7528.695998,672,67.045704
-8133.566145,672,68.077788
-8849.73007,672,68.985609
-8841.073086,672,70.290497
-8919.314898,672,71.238184
-9203.369369,672,72.064199
-7883.714897,672,73.353798
-8733.444071,672,74.40423
-8057.199796,672,75.358817
-8758.340149,672,76.680792
-8531.766991,672,77.85476
-8864.096777,672,78.679219
-7817.390767,672,79.869998
-8526.885584,672,80.688569
-7898.605983,672,81.546255
-7837.289354,672,82.797082
-8953.167825,672,83.78525
-8559.40159,672,84.71268
-8334.049455,672,85.828771
-7126.006552,672,86.792157
-8022.861385,672,87.585645
-7101.288353,672,88.919943
-7831.768311,672,89.811671
-7708.938355,672,90.787092
-8853.039519,672,92.099754
-9905.460711,672,93.019126
-7929.099771,672,94.237957
-8657.673773,672,95.607503
-8653.02571,672,96.672834
-9176.618702,672,97.90932
-9745.489253,672,99.37817
-9606.260251,672,100.371666
-8466.65162,672,101.245147
-8195.331255,672,102.455718
-7620.008019,672,103.384018
-7112.846263,672,104.242323
-8858.479758,672,105.526388
-8361.120369,672,106.740057
-8741.054237,672,108.348473
-7375.309297,672,110.415567
-7470.018955,672,111.623013
-9497.506895,672,112.901249
-6098.079293,672,114.489451
-5357.695967,672,115.592843
-7190.724038,672,116.786517
-8144.294737,672,118.119163
-7680.753413,672,118.983241
-5481.648247,672,119.93267
-7346.548621,672,121.146945
-7325.328702,672,122.079519
-7180.52324,672,123.06796
-6750.703981,672,124.491311
-5440.585287,672,125.932759
-7178.126666,672,127.049779
-7783.343589,672,127.897094
-5768.561896,672,129.208907
-5148.826503,672,130.290189
-5586.268611,672,131.500992
-5317.750862,672,133.288209
-5704.382898,672,134.532039
-4926.011779,672,135.684265
-6953.234404,672,136.965684
-4979.870363,672,138.400794
-4333.169852,672,139.405789
-6779.772282,672,140.726035
-3179.520621,672,141.579185
