#{"t_start": 1747016146.881129, "env_id": "None"}
r,l,t
-4328.406917,672,142.623616
-4085.532128,672,143.98515
-4083.816465,672,144.995028
-3043.434005,672,146.134528
-2327.542048,672,147.746661
-2719.618159,672,148.721645
-2590.595405,672,149.874196
-3367.190465,672,151.165139
-3670.936572,672,152.177123
-2605.269308,672,153.170513
-3355.38668,672,154.507499
-4032.887628,672,155.725098
-3438.680224,672,156.709779
-2624.113329,672,158.067728
-2370.063967,672,159.205352
-3127.805665,672,160.189612
-2319.443749,672,161.37793
-2768.491707,672,162.767652
-2662.438373,672,163.761407
-2690.269815,672,165.705172
-3195.912601,672,166.919202
-3117.570452,672,168.567749
-2137.622973,672,170.122794
-2429.673992,672,171.167435
-3020.094996,672,172.245414
-3252.725436,672,173.727836
-2562.002875,672,174.785071
-2322.85427,672,176.028403
-2561.176243,672,177.49419
-2323.528982,672,178.536002
-3216.09295,672,179.76573
-2631.494601,672,181.242269
-2075.496381,672,182.236404
-3130.416117,672,183.2277
-2922.962725,672,184.616019
-2439.94412,672,185.643918
-2847.580775,672,186.671901
-2392.474306,672,188.117545
-2315.406702,672,189.117086
-2535.307956,672,190.045294
-3016.736875,672,191.612574
-2444.881006,672,192.641113
-2260.971339,672,193.806325
-2270.382058,672,195.136956
-2218.403394,672,196.071431
-2410.405857,672,197.078234
-2271.446309,672,198.776893
-2285.10116,672,199.808537
-2026.766919,672,200.775689
-2092.429466,672,201.905015
-2605.173256,672,203.347487
-2687.80239,672,204.325551
-1800.234422,672,205.396218
-1897.331281,672,206.82109
-2373.618555,672,207.84708
-2113.176756,672,208.867513
-2472.61505,672,210.359307
-2446.560583,672,211.432681
-2770.346069,672,212.455426
-2504.898604,672,213.832408
-2560.827905,672,214.894845
-2842.118779,672,215.895563
-2519.144368,672,217.292721
-3287.574719,672,218.312752
-2822.929206,672,219.381668
-2318.277868,672,220.815591
-2279.162938,672,221.814699
-2312.71717,672,222.830044
-2301.009637,672,224.263392
-2390.71327,672,225.340326
-2435.158744,672,226.366661
-2095.895777,672,227.800231
-2962.551286,672,228.825308
-2200.909865,672,230.159308
-2365.534409,672,231.923009
-2071.307529,672,232.963296
-2009.696579,672,234.477607
-2087.588009,672,236.070443
-2076.19497,672,237.21067
-2288.552473,672,238.233331
-2420.616497,672,239.757538
-1930.343183,672,240.962614
-2209.946936,672,242.178651
-2129.783519,672,243.79427
-2291.266856,672,244.87143
-2196.567892,672,246.170695
-2159.684313,672,248.376888
-2081.15234,672,250.490946
-2327.213784,672,251.684524
-2457.277691,672,253.495641
-2551.516217,672,255.381483
-1860.182129,672,256.751488
-2045.875692,672,258.246902
-2197.775888,672,259.299743
-2275.169614,672,260.479691
-2104.892959,672,261.870831
-3041.382749,672,262.938676
-2200.319855,672,264.153521
-2093.085888,672,265.824831
-2341.852442,672,266.894998
-2306.049104,672,268.657988
-2027.587538,672,270.344967
-2062.421509,672,271.736592
-2497.876506,672,273.797665
-2164.908453,672,275.501992
-2471.604715,672,276.78804
-2630.363749,672,279.16699
-2126.951154,672,281.216643
-1829.896329,672,283.029536
-2402.970088,672,284.40722
-2163.860596,672,286.820714
-2555.956343,672,288.096227
-2748.523898,672,289.148767
-2246.750248,672,290.219235
-2609.548965,672,292.040823
-2291.363288,672,293.6861
-2163.172826,672,294.895065
-2146.278728,672,296.432434
-1957.724546,672,297.515703
-2115.038237,672,298.586846
-1903.550252,672,300.322002
-2320.322427,672,301.527414
-2178.429847,672,302.689573
-2120.850622,672,304.479725
-2546.294369,672,305.761674
-2169.660584,672,306.857835
-2038.439353,672,308.290294
-2241.163348,672,309.307062
-1906.672997,672,310.366377
-2093.174346,672,311.859938
-1956.008389,672,312.876468
-2062.681752,672,314.215202
-2372.046304,672,316.030935
-2437.965339,672,317.18293
-2297.681492,672,318.671771
-1931.311448,672,320.355767
-2307.653333,672,321.402213
-2235.108903,672,322.593683
-2201.491687,672,324.187131
-2340.483909,672,325.322024
-2305.886952,672,326.69729
-1959.978505,672,328.306084
-2042.92909,672,329.178929
-2542.491895,672,330.379706
-2402.84561,672,331.909713
-2068.593841,672,332.921067
-1763.842563,672,334.180711
-2149.24581,672,335.752905
-2236.50729,672,336.758828
-2415.846231,672,338.443009
-2019.721542,672,340.089935
-2012.833379,672,341.255756
-2507.822955,672,342.758655
-2163.568926,672,344.253428
-2142.971983,672,345.756262
-2292.821985,672,347.008054
