#{"t_start": 1747015659.7748742, "env_id": "None"}
r,l,t
-6006.89232,672,1.110413
-5987.075824,672,1.542284
-4343.418039,672,1.978765
-6453.136075,672,2.797541
-5273.753305,672,3.244026
-6338.34292,672,3.689588
-6313.322695,672,4.524402
-5189.13592,672,4.989698
-4172.283768,672,5.480684
-4999.534889,672,6.285605
-5307.617719,672,6.739134
-4485.653079,672,7.205902
-3154.051151,672,7.938746
-2785.273948,672,8.392471
-3840.254811,672,8.847637
-2808.396251,672,9.557718
-3268.919805,672,10.041091
-3886.55307,672,10.671611
-2806.335235,672,11.467109
-3769.047081,672,11.903799
-3609.606571,672,12.363477
-3151.208499,672,13.120845
-2720.578422,672,13.543991
-1765.828476,672,14.013137
-2506.953846,672,14.814641
-1559.784636,672,15.304279
-1537.712843,672,15.746989
-2319.404124,672,16.538321
-1186.920914,672,16.999185
-2074.025398,672,17.486848
-1233.719541,672,18.29
-1519.118592,672,18.831933
-1794.44436,672,19.302309
-657.524902,672,20.098828
-981.083882,672,20.586573
-634.050886,672,21.047922
-1606.3001,672,21.838945
-1519.36715,672,22.298659
-1693.609445,672,22.786603
-959.043084,672,23.572908
-790.570266,672,24.06279
-647.044265,672,24.521497
-1050.62413,672,25.304333
-936.238127,672,25.809379
-689.711683,672,26.317954
-1149.035779,672,27.078315
-816.594927,672,27.567041
-1040.878093,672,28.015739
-807.22028,672,28.806083
-1050.12474,672,29.341442
-768.636562,672,29.82715
-1164.503316,672,30.60106
-1008.895842,672,31.152472
-980.02017,672,31.711639
-674.126911,672,32.600284
-777.646512,672,33.144891
-655.954652,672,33.625445
-699.296662,672,34.408428
-768.119435,672,34.876582
-721.929467,672,35.320437
-887.347193,672,36.140527
-553.655052,672,36.642986
-528.811342,672,37.244809
-704.184125,672,37.75559
-730.715586,672,38.600716
-1029.182043,672,39.20093
-717.97345,672,39.795935
-726.491123,672,40.778867
-687.060223,672,41.306496
-732.607125,672,41.880969
-656.624135,672,42.764158
-727.135536,672,43.247953
-714.6934,672,43.786193
-800.150505,672,44.594185
-604.573925,672,45.097861
-709.988713,672,45.592156
-738.798392,672,46.47649
-768.525805,672,47.021408
-796.824151,672,47.526898
-710.264246,672,48.337469
-812.986119,672,48.899922
-770.121765,672,49.41168
-1005.799585,672,50.200158
-828.67493,672,50.739572
-631.393585,672,51.279228
-830.623807,672,52.181985
-607.829021,672,52.707521
-1430.8559,672,53.179097
-1203.563668,672,54.025048
-448.6056,672,54.590898
-577.282341,672,55.109135
-640.553783,672,55.924397
-608.529683,672,56.481037
-475.769341,672,57.103612
-400.826073,672,58.047866
-734.598339,672,58.632431
-635.674492,672,59.237862
-683.875528,672,60.181752
-819.361063,672,60.72034
-763.28001,672,61.418524
-752.168105,672,62.295246
-781.285495,672,62.82321
-755.639657,672,63.33994
-717.103694,672,64.136843
-839.870089,672,64.727775
-679.583442,672,65.307782
-788.719295,672,66.228495
-607.738422,672,66.837949
-706.568072,672,67.471366
-605.637555,672,68.381548
-627.365278,672,68.957765
-593.222069,672,69.556102
-620.239488,672,70.472046
-747.000308,672,71.052121
-687.618712,672,71.695163
-663.780319,672,72.63195
-674.388387,672,73.213738
-648.463165,672,73.755028
-822.785165,672,74.663562
-788.091617,672,75.244424
-511.470802,672,75.792352
