#{"t_start": 1747014375.8002188, "env_id": "None"}
r,l,t
-2801.148135,672,1.027172
-2912.993475,672,1.368883
-2844.227284,672,1.704764
-2584.558397,672,2.330354
-2865.632623,672,2.673567
-1941.969389,672,3.130932
-3696.62382,672,3.739333
-4003.386215,672,4.092891
-3048.576528,672,4.427084
-4544.969185,672,5.038693
-3896.046762,672,5.367942
-3547.61114,672,5.715084
-3043.485327,672,6.372816
-2957.464491,672,6.741999
-3394.469198,672,7.121542
-2984.46559,672,7.776159
-2739.616899,672,8.110964
-1969.948421,672,8.445393
-3120.924487,672,9.123091
-3987.174027,672,9.45693
-2297.141451,672,9.805188
-2068.193378,672,10.457017
-2456.197843,672,10.839209
-3502.347328,672,11.183315
-2248.270044,672,11.806057
-2210.919198,672,12.131561
-2601.454514,672,12.481754
-2327.2564,672,13.125335
-2505.458878,672,13.481948
-1576.941615,672,13.883108
-1741.976314,672,14.546279
-1813.908767,672,14.875864
-1724.856295,672,15.21245
-2316.100316,672,15.824373
-2197.07653,672,16.159853
-1390.687362,672,16.490281
-1460.420369,672,17.093537
-2047.936821,672,17.456206
-1957.482117,672,17.787056
-1912.683429,672,18.434216
-1579.6015,672,18.794423
-2279.865758,672,19.132672
-1539.021796,672,19.746224
-1608.507244,672,20.079137
-2394.84635,672,20.432006
-1794.727761,672,21.04012
-1868.06927,672,21.371836
-1688.021758,672,21.763306
-1832.3,672,22.390421
-1189.634736,672,22.715874
-1298.53514,672,23.037022
-1498.677261,672,23.660754
-1753.951606,672,24.007559
-1716.982172,672,24.326826
-1881.082239,672,24.95798
-1764.239615,672,25.316819
-1416.776984,672,25.636281
-1111.017866,672,26.284932
-1849.926268,672,26.602092
-1465.988412,672,26.961724
-1761.715657,672,27.653449
-1128.776525,672,27.979817
-896.91326,672,28.339159
-1496.180887,672,28.663741
-1332.448978,672,29.274421
-2104.047678,672,29.63354
-1317.85531,672,29.95578
-501.036623,672,30.558698
-935.926527,672,30.881261
-1038.454079,672,31.199461
-464.379448,672,31.794492
-981.009687,672,32.120676
-902.513155,672,32.44778
-422.893727,672,33.071198
-718.576883,672,33.395401
-450.144985,672,33.716103
-493.406927,672,34.402031
-584.881149,672,34.794203
-445.952876,672,35.125687
-407.268103,672,35.772283
-520.051151,672,36.087764
-435.788484,672,36.429514
-423.977023,672,37.039545
-316.391601,672,37.367836
-344.24426,672,37.697329
-300.655771,672,38.32462
-296.309465,672,38.647534
-302.55102,672,38.974114
-429.30927,672,39.578564
-396.478567,672,39.903778
-454.126645,672,40.247967
-418.528827,672,40.865939
-272.436015,672,41.263174
-224.972147,672,41.61462
-234.943312,672,42.256138
-421.274923,672,42.680191
-427.919102,672,43.032466
-410.342571,672,43.727755
