#{"t_start": 1747018802.6270258, "env_id": "None"}
r,l,t
-19534.406358,672,1.482102
-15072.923826,672,2.393995
-16414.322272,672,3.26874
-13227.811927,672,4.512122
-13214.602494,672,5.42585
-15336.727875,672,6.255795
-13069.100967,672,7.403369
-14983.799161,672,8.274278
-17280.960765,672,9.128541
-14989.007364,672,10.312552
-14877.564354,672,11.168722
-13499.081279,672,12.001305
-14575.022115,672,13.133355
-14051.007982,672,13.954745
-14899.209082,672,14.79802
-14961.038937,672,16.036025
-13717.31788,672,16.913664
-13796.104428,672,17.799562
-14208.813089,672,18.984999
-14193.895946,672,19.835295
-14201.787132,672,20.671756
-14155.053608,672,21.825587
-14231.112133,672,22.760488
-15410.487126,672,23.640794
-11870.211513,672,25.009826
-12884.398047,672,26.008182
-13825.54766,672,26.949174
-11703.511288,672,28.124154
-15028.366956,672,29.069021
-13328.380213,672,29.979135
-15079.722665,672,31.160877
-13105.606215,672,32.038163
-12905.164862,672,32.951524
-13693.290502,672,34.101756
-14270.005712,672,35.025453
-12880.342701,672,35.917763
-13164.943029,672,37.129937
-14155.125219,672,38.056972
-12026.318157,672,39.044465
-10573.706218,672,40.44612
-12902.530101,672,41.392162
-12732.721285,672,42.492247
-11481.586773,672,43.895097
-12379.481148,672,44.885463
-14185.375156,672,45.841953
-13292.581006,672,47.108629
-13328.576228,672,48.063296
-13522.219397,672,48.983573
-13933.309362,672,50.260185
-11936.934486,672,51.217037
-11877.074815,672,52.189603
-12373.66637,672,53.520538
-11153.52769,672,54.664674
-13479.649512,672,55.637956
-12124.281432,672,56.899574
-12435.205254,672,57.857019
-12307.796223,672,58.834421
-11587.368168,672,60.090583
-12302.702755,672,61.060835
-12489.434936,672,61.994974
-11333.029353,672,63.308107
-9884.050872,672,64.260425
-11166.040732,672,65.193332
-9452.154899,672,66.137066
-12397.951426,672,67.459666
-12147.228486,672,68.402916
-9287.110254,672,69.386698
-11175.721801,672,70.750967
-11284.380935,672,71.717271
-12879.850972,672,72.674993
-10043.000871,672,73.94145
-10612.962961,672,74.924245
-10627.301316,672,75.899082
-12565.171207,672,77.490353
-12971.5562,672,78.734474
-10570.374141,672,79.927844
-13428.457756,672,81.372072
-12953.852873,672,82.535306
-12488.002462,672,83.629977
-10294.062681,672,85.104917
-11880.799633,672,86.259951
-11545.98959,672,87.499146
-9163.472856,672,89.085555
-11286.149424,672,90.444969
-11945.198674,672,91.548285
-12611.112836,672,93.143742
-10508.674447,672,94.191862
-11643.900969,672,95.354324
-11448.710607,672,96.792707
-8841.981258,672,97.97006
-8445.109881,672,99.226103
-9042.670582,672,100.761506
-10709.809082,672,101.946809
-10285.112283,672,103.170317
-8990.395715,672,104.743871
-8050.977066,672,106.333404
-11639.874123,672,107.517754
-12010.896872,672,109.083456
-10193.819016,672,110.269893
-10162.143634,672,111.535546
-8097.43612,672,113.150576
-10507.187339,672,114.363561
-10471.958413,672,115.590282
-7641.712814,672,117.135875
-9414.098952,672,118.406426
-8303.587326,672,119.850627
-6639.460513,672,121.550789
-7308.242915,672,122.810442
-12439.107342,672,124.280441
-9151.640252,672,126.004411
-8285.770926,672,127.31764
-9062.384898,672,128.685868
-8771.311742,672,130.462106
-8763.386471,672,131.844114
-6866.398233,672,133.370827
-6473.48983,672,135.227261
-5962.409163,672,137.008899
-6577.631826,672,138.843135
-7252.127874,672,140.889469
-4464.410388,672,142.563142
-6636.298046,672,144.675775
-7920.555061,672,146.764645
-8133.362456,672,148.174984
-5754.521325,672,149.503499
-7275.051622,672,151.294158
-6635.876906,672,152.580649
-6100.391533,672,153.999281
-7271.977394,672,155.391847
-6517.596217,672,157.067922
-6061.565335,672,158.385347
-7618.852321,672,159.630413
-6912.695305,672,161.257655
-4772.05422,672,162.626092
-6316.842196,672,163.889073
-5604.866671,672,165.560354
-6093.925835,672,166.847056
-6409.56259,672,168.11308
-5417.057052,672,169.847688
-7645.427422,672,171.14004
-4515.036648,672,172.37283
-6808.562129,672,174.09438
-5060.517029,672,175.401931
-5636.557446,672,176.643402
-4263.866075,672,178.391793
-6822.567371,672,179.698238
-6108.701019,672,181.005153
-7989.847213,672,182.591417
-6997.003394,672,183.906688
-5968.879077,672,185.178064
-6798.291891,672,186.849119
-6165.155316,672,188.145456
-5621.50312,672,189.413942
-6036.431531,672,191.203156
-5019.664966,672,192.522146
-6154.226579,672,193.792438
-5788.638328,672,195.494247
-4778.424793,672,197.118879
-4560.597517,672,199.115949
-3165.402574,672,200.932427
-4076.609344,672,202.533048
-3892.543233,672,203.737308
-4674.585358,672,205.416985
-5137.626071,672,206.719454
-3396.031554,672,207.944889
-2862.368615,672,209.648692
-2518.177754,672,211.082372
-3529.209871,672,212.536493
-3693.134813,672,214.263858
-4593.195323,672,215.559913
-4192.088636,672,216.930073
-4062.674797,672,218.590923
-2934.682626,672,219.943329
-5056.463176,672,221.410633
-3556.715155,672,223.154885
-3349.842912,672,224.445383
-4414.579759,672,226.196768
-2699.195225,672,228.162713
-3382.60563,672,229.288623
-2966.438604,672,230.609253
-4068.063638,672,232.315927
-3683.106155,672,233.529621
-4899.350232,672,234.869024
-4226.949072,672,236.476032
-2790.013892,672,237.836411
-3210.822863,672,239.271559
-3784.806583,672,241.406789
-3051.851999,672,242.80868
-3313.796236,672,244.28294
-2630.636439,672,246.349184
-2609.887165,672,247.535821
-2948.083231,672,248.788545
-3369.520307,672,250.390588
-3028.564969,672,252.286839
-3193.576868,672,253.682593
-4194.524786,672,254.943632
-4265.866836,672,256.534429
-4454.342047,672,257.743377
-3931.932526,672,259.114851
-2630.77347,672,261.024426
-3395.486008,672,262.401296
-3976.40699,672,263.881769
-2767.665022,672,265.475637
-3651.655759,672,267.343066
-2867.299287,672,268.59675
-2821.702992,672,270.46121
-3233.711856,672,271.826551
-3932.217785,672,273.341533
-3633.753383,672,275.018703
-3170.537148,672,276.321609
-3117.862936,672,277.669508
-3319.411393,672,279.274384
-3140.538215,672,280.859854
-2782.71345,672,282.112372
-3037.818141,672,283.721522
-3386.825124,672,284.975084
-2927.086191,672,286.351645
-3430.521318,672,288.194623
-2542.091586,672,289.713678
-2747.286587,672,291.121491
-1934.826743,672,293.436192
-2247.675756,672,295.175142
-2908.79652,672,296.455751
-3760.566966,672,298.248934
-2990.891936,672,299.541863
-2748.731933,672,300.833007
-2008.81266,672,302.514873
-2336.262783,672,303.797535
-2637.038472,672,304.975325
-3770.36632,672,306.616042
-3447.206887,672,307.831619
-2938.242252,672,311.065218
-2067.216991,672,312.770307
-2334.825631,672,314.062369
-2993.110177,672,315.181632
-2492.82246,672,316.65932
-2945.965429,672,318.120599
-2005.246441,672,319.414692
-2386.912846,672,320.926213
-2420.218322,672,322.365146
-2399.361339,672,323.680352
-2597.742251,672,325.200934
-1915.547997,672,326.704067
-2560.049319,672,327.953078
-2780.990816,672,329.523034
-2144.019629,672,330.978436
-1888.273048,672,332.277806
-2639.240421,672,333.903363
-2425.257703,672,335.612903
-3221.131289,672,336.890414
-2531.394897,672,338.520703
-2248.122802,672,339.94568
-2747.144566,672,341.45506
-2696.444995,672,343.245522
-1808.568838,672,344.786655
-2331.590045,672,346.446485
-2531.0308,672,347.586222
-2420.94695,672,349.321638
-3329.374837,672,350.516266
-1963.689558,672,352.173186
-1888.059982,672,353.811388
-1824.141817,672,355.210951
-2181.226191,672,356.75949
-2083.637469,672,358.926158
-1881.640688,672,360.317845
-1995.026605,672,361.71549
-1878.198299,672,363.442759
-2262.708397,672,364.668438
-2098.056075,672,366.281233
-1640.806932,672,368.079079
-2187.115842,672,369.281688
-1891.006016,672,370.553876
-2583.388177,672,372.286906
-2793.283946,672,373.536125
-3122.381157,672,374.827058
-2063.823999,672,376.651409
-2420.090293,672,378.033451
-2301.557903,672,379.314589
-2785.957535,672,380.958802
-2471.797347,672,382.736332
-2672.608544,672,384.06377
-1998.06657,672,385.69727
-2144.532553,672,387.599759
-2079.336783,672,388.940017
-1881.313243,672,390.610041
-2217.059648,672,392.2263
-2263.108171,672,393.778348
-2553.378859,672,395.406778
-2335.280564,672,396.877261
-1669.796271,672,398.399964
-1772.578564,672,400.369738
-2139.595385,672,401.611316
-2190.366612,672,402.959132
-2209.746172,672,404.766435
-2376.988306,672,419.275387
